Company,Website,Phone,Address,Email,Team Page,Person 1,Job 1,Person 2,Job 2,Person 3,Job 3
Apriva,"=HYPERLINK(""http://www.apriva.com"")",480-421-1210,"=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")",POS@apriva.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+apriva"")",Jeff Ford,Chief Operating Officer,Christopher Spinella,Chief Executive Officer,Lisa Raggiri,"Vice President, Business Solutions"
StoryDesk,"=HYPERLINK(""http://www.storydesk.com"")",+ 1 (646) 627-7414,"=HYPERLINK(""https://www.google.com/maps/preview/place/'195 Chrystie Street Suite 502G New York'"")",info@storydesk.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+storydesk"")",Jordan Stolper,CEO/Co-Founder,Jed Micka,"VP, Engineering",Michael Romanowicz,VP Product / Co-Founder
BWise,"=HYPERLINK(""http://www.bwise.com"")",(212) 584-2260,"=HYPERLINK(""https://www.google.com/maps/preview/place/'1450 Broadway 38th Floor New York'"")",marketing@bwise.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+bwise"")",Robert Pijselman,CEO,Luc Brandts,CTO and Founder,Joseph LeBas,President-North America
Mindshapes,"=HYPERLINK(""http://mindshapes.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")",media@mindshapes.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+mindshapes"")",Chris Michaels,Co-CEO,Sami Lababidi,Chief Technology Officer and Co-Founder,Shukri Shammas,Chairman and Co-founder
Mindshapes,"=HYPERLINK(""http://mindshapes.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")",media@mindshapes.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+mindshapes"")",Chris Michaels,Co-CEO,Sami Lababidi,Chief Technology Officer and Co-Founder,Shukri Shammas,Chairman and Co-founder
PopuGamer,"=HYPERLINK(""http://popugamer.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")",feedback@popugamer.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+popugamer"")", ,"", ,"", ,""
Flag Day Consulting Services,"=HYPERLINK(""http://www.flagdayconsulting.com"")",718-303-2052,"=HYPERLINK(""https://www.google.com/maps/preview/place/'116 West 23rd Street 5th Floor New York'"")",joe@flagdayconsulting.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+flag-day-consulting-services"")",Joseph Cannizzo,President, ,"", ,""
HourSpaces,"=HYPERLINK(""http://www.hourspaces.com"")",646-448-4571,"=HYPERLINK(""https://www.google.com/maps/preview/place/'10 East 29th Street  New York'"")",rossnewman@hourspaces.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+hourspaces"")",Ross Newman,Founder, ,"", ,""
Peerform,"=HYPERLINK(""http://www.peerform.com"")",800-338-8049,"=HYPERLINK(""https://www.google.com/maps/preview/place/'369 Lexington Avenue 2nd Floor New York'"")",contact@peerform.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+peerform"")",Mikael Rapaport,Founder & CEO,Meytal Benichou,Founder & CTO,Ouriel Lemmel,COO
Involvio,"=HYPERLINK(""http://involvio.com"")",347-382-8200,"=HYPERLINK(""https://www.google.com/maps/preview/place/'261 Madison Ave  New York'"")",hello@involvio.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+involvio"")",Ari Winkleman,Founder & CEO,Evan Siegel,"Director, Product",Jeremy Bloom,Lead Product Designer
Convertro,"=HYPERLINK(""http://www.convertro.com"")",(800)797-0176,"=HYPERLINK(""https://www.google.com/maps/preview/place/'11 West 42nd St  New York'"")",info@convertro.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+convertro"")",Jeff Zwelling,CEO,Gary Gurevich,Co-Founder,Yaniv Shalev,CTO
TimeToSignOff,"=HYPERLINK(""http://www.timetosignoff.com"")",+1 212 966 3025,"=HYPERLINK(""https://www.google.com/maps/preview/place/'29E 19th street 5th Floor New York'"")",contact@timetosignoff.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+timetosignoff"")",Marc-Henri Magdelenat,Founder,Arthur Ceria,Founder, ,""
Noisevox,"=HYPERLINK(""http://www.noisevox.org"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'255 Canal Street Floor 5 New York'"")",info@noisevox.org,"=HYPERLINK(""https://www.google.com/search?q='management+team'+noisevox"")",Rubes Harman,Co-Founder / Director of Video Production,John Norris,Co-Founder / Director of Programming,Bao Truong,CTO
Sky Social Media,"=HYPERLINK(""http://www.skysocialmedia.com"")",6148934650,"=HYPERLINK(""https://www.google.com/maps/preview/place/'130 W. 29th Street 6th Floor New York'"")",ricky@skysocialmedia.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+sky-social-media"")",Atir Javid,CTO,Steven Breslawski,VP Business Development,Ricky Joshi,Partner
KAYWEB,"=HYPERLINK(""http://www.kayweb.com"")",212-653-0391,"=HYPERLINK(""https://www.google.com/maps/preview/place/'1330 Avenue of the Americas 23rd Floor New York'"")",info@kayweb.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+kayweb"")",Haig Kayserian,Founder and Internet Business Consultant, ,"", ,""
L2 Think Tank,"=HYPERLINK(""http://www.l2thinktank.com"")",805.441.3233,"=HYPERLINK(""https://www.google.com/maps/preview/place/'821 Broadway 2nd Floor New York'"")",lauren@l2thinktank.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+l2-think-tank"")",Scott Galloway,Founder,Nathalie Kim,Program Director, ,""
TLM Agency,"=HYPERLINK(""http://www.tlmagency.com"")",1-855-777-2281,"=HYPERLINK(""https://www.google.com/maps/preview/place/'244 5th Avenue G288 New York'"")",reception@tlmagency.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+tlm-agency"")",Jordan English,Founder, ,"", ,""
ThumbScribes,"=HYPERLINK(""http://www.thumbscribes.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'28 Howard Street #2 New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+thumbscribes"")",Jacqueline Bosnjak,partner,Mark Beukes,partner, ,""
Brilig,"=HYPERLINK(""http://www.brilig.com"")",1-212-297-1860,"=HYPERLINK(""https://www.google.com/maps/preview/place/'40 Worth Street Suite 829 New York'"")",info@brilig.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+brilig"")",Paul Cimino,CEO,Mark Kemna,CTO,Vincent D'Agostino,President & CFO
Advisen,"=HYPERLINK(""http://www.advisen.com"")",1-212-897-4800,"=HYPERLINK(""https://www.google.com/maps/preview/place/'1430 Broadway, 8th floor  New York'"")",support@advisen.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+advisen"")",Mason Power,Head of Sales & Marketing, ,"", ,""
CrosStar Network Solutions,"=HYPERLINK(""http://crosstarnetwork.com"")",212 997-7676,"=HYPERLINK(""https://www.google.com/maps/preview/place/'108 West 39th Street  New York'"")",info@crosstarnetwork.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+crosstar-network-solutions"")", ,"", ,"", ,""
LiveProfile,"=HYPERLINK(""http://www.liveprofile.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+liveprofile"")",Phil Karl,"Co-Founder, CEO",Ahmadali Arabshahi,COO,William Key,"Co-Founder, CTO"
NYU Stern School of Business,"=HYPERLINK(""http://www.stern.nyu.edu"")",+1 212-998-0100,"=HYPERLINK(""https://www.google.com/maps/preview/place/' 44 West Fourth Street New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+nyu-stern-school-of-business"")",Luke Williams,Adjunct  Professor,Claudia Perlich,Adjunct Professor,Hilary Gosher,Adjunct Professor
LocalBonus,"=HYPERLINK(""http://localbonus.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'10 East 33rd Street, 6th Floor  New York'"")",info@localbonus.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+localbonus"")",David Levy,Advisor,Derek Webster,Founder and CEO,Tim Saunders,Co-Founder and CTO
Two Bulls,"=HYPERLINK(""http://www.two-bulls.com"")",+1 (347) 574-3502,"=HYPERLINK(""https://www.google.com/maps/preview/place/'10 East 23rd Street 3rd Floor New York'"")",info@two-bulls.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+two-bulls"")",Noah Harlan,Founder,Aaron Vernon,Chief Technology Officer,Evan Davey,Chief Operating Officer
CMP.LY,"=HYPERLINK(""http://cmp.ly"")",212-717-1414,"=HYPERLINK(""https://www.google.com/maps/preview/place/'135 W 20TH STREET SUITE 300/3RD FLOOR New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+cmp-ly"")",Tom Chernaik,CEO,Adrian Kampfner,Chief Revenue Officer,James Graham,COO
Northern Leasing,"=HYPERLINK(""http://www.northernleasing.net"")",(800) 683-5433,"=HYPERLINK(""https://www.google.com/maps/preview/place/'132 West 31st Street 14th Floor New York'"")",northernleasingsystems@gmail.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+northern-leasing"")", ,"", ,"", ,""
WebLinc,"=HYPERLINK(""http://weblinc.com"")",215-925-1800,"=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")",sales@weblinc.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+weblinc"")",Darren Hill,Managing Partner,Jen Oliver,Director of Sales and Marketing,Avery Amaya,Director of Business Development
Nestio,"=HYPERLINK(""http://nestio.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'312 Bowery  New York'"")",info@nestio.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+nestio"")",Mike O'Toole,"CTO, Co-Founder",Caren Maio,"CEO, Co-Founder",Matt Raoul,"CCO, Co-Founder"
LocalResponse,"=HYPERLINK(""http://localresponse.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'37 W. 28th St 5th floor New York'"")",contact@localresponse.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+localresponse"")",Kathy Leake,CEO & Co-Founder,Michael Muse,"Co-Founder, VP Product & Operations",Niels Meersschaert,Chief Technology Officer
PicsCliq,"=HYPERLINK(""http://www.picscliq.com"")",5168333020,"=HYPERLINK(""https://www.google.com/maps/preview/place/'1 State Street  New York'"")",info@picscliq.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+picscliq"")",Reuven Moskowitz,Founder,Andy Minkstein,CTO,Josh Friedman,Founder
WANTED Technologies,"=HYPERLINK(""http://www.wantedanalytics.com"")",212.242-3068,"=HYPERLINK(""https://www.google.com/maps/preview/place/'5 Union Square Floor 4 New York'"")",marketing@wantedanalytics.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+wanted-technologies"")",Bruce Murray,CEO,David Tanguay,CEO and Co-Founder,Ian Delisle,CTO & Co-Founder
TheFix.com,"=HYPERLINK(""http://www.thefix.com"")",1-888-438-3493,"=HYPERLINK(""https://www.google.com/maps/preview/place/'19 W. 21st Street, Suite 901  New York'"")",info@thefix.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+thefix-com"")",Joe Schrank,Co-Founder and Editor at Large,Paul McCulley,CEO,Mike Guy,Editor In Chief
Artspace,"=HYPERLINK(""http://artspace.com"")",212-675-5804,"=HYPERLINK(""https://www.google.com/maps/preview/place/'915 Broadway Suite 602  New York'"")",service@artspace.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+artspace"")",CATHERINE LEVENE,Co-Founder | CEO,Andrew M. Goldstein,Editor-in-Chief,Charles Evers,Chief Technology Officer
Neverware,"=HYPERLINK(""http://neverware.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'902 Broadway 4th Floor New York'"")",info@neverware.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+neverware"")",Jonathan Hefter,"Founder, CEO",Andrew Bauer,Chief Operating Officer,Jason Bennett,VP of Engineering
GetMinders,"=HYPERLINK(""http://getminders.com"")",315.314.9694,"=HYPERLINK(""https://www.google.com/maps/preview/place/'36 E. 12th Street Floor 2 New York'"")",info@getminders.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+getminders"")",Michael Oliver,COO/Co-Founder,Jesse Middleton,CEO/Co-Founder, ,""
"Hey, Neighbor!","=HYPERLINK(""http://heyneighbor.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'PO Box #20043  New York'"")",info@heyneighbor.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+hey-neighbor"")",Daniel Dietrich,Co-Founder and COO, ,"", ,""
Red Rover,"=HYPERLINK(""http://redroverpilot.launchrock.com/?r=http://www.crunchbase.com/company/red-rover"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'110 East 23rd St 8th Floor New York'"")",info@redroverhq.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+red-rover"")",Kevin Prentiss,CEO,Mike Grassotti,CTO,Dan Storms,Head of Engineering
Wall St. Cheat Sheet,"=HYPERLINK(""http://wallstcheatsheet.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+wall-st-cheat-sheet"")",Larry Kramer,Chairman,Damien Hoffman,Co-Founder,Tracy Sigler,COO
Coupoz,"=HYPERLINK(""http://www.coupoz.com"")",2128611026,"=HYPERLINK(""https://www.google.com/maps/preview/place/'342 East 65th Street Suite 5RE New York'"")",contact@coupoz.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+coupoz"")",Yoshiko Akai,Co-Founder, ,"", ,""
Kogeto,"=HYPERLINK(""http://www.kogeto.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'41 Wooster Street 2nd Floor New York'"")",info@kogeto.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+kogeto"")",Jeff Glasse,Founder & CEO,David Sosnow,Co-Founder, ,""
Citymaps,"=HYPERLINK(""http://citymaps.com"")",212.991.5212,"=HYPERLINK(""https://www.google.com/maps/preview/place/'717 Madison  Ave Suite 3A New York'"")",info@citymaps.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+citymaps"")",Elliot Cohen,Founder & CEO,Aaron Rudenstine,Co-Founder & President,Ryan Snelson,Head of product + UX
Cooper Consulting,"=HYPERLINK(""http://www.cooperconsulting.net"")",(646) 291-2135,"=HYPERLINK(""https://www.google.com/maps/preview/place/'435 Central Park West Suite 1F New York'"")",info@cooperconsulting.net,"=HYPERLINK(""https://www.google.com/search?q='management+team'+cooper-consulting"")",Chaya Cooper,Principal, ,"", ,""
TradingScreen,"=HYPERLINK(""http://www.tradingscreen.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'30 Irving Place 4th floor New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+tradingscreen"")",John Gross,Chief Financial Officer,Brian Nadzan,Chief Development Officer,Chris Kingsbury,Chief Architect Officer
Point Of Sale,"=HYPERLINK(""http://www.pointofsale.net"")",(347) 767-5900,"=HYPERLINK(""https://www.google.com/maps/preview/place/'349 5th Avenue New York  New York'"")",info@pointofsale.net,"=HYPERLINK(""https://www.google.com/search?q='management+team'+point-of-sale"")",Kristian Hiiemaa,CEO,Robert Jacob,VP of Sales,Eric Fung,Account Manager
KeepRecipes,"=HYPERLINK(""http://www.keeprecipes.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")",team@keepideas.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+keeprecipes"")",Phil Michaelson,CEO,Klaas Van Waesberghe,CTO, ,""
KeepIdeas,"=HYPERLINK(""http://www.keepideas.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")",team@keepideas.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+keepideas"")",Phil Michaelson,Founder,Klaas Van Waesberghe,CTO, ,""
Snapette,"=HYPERLINK(""http://snapette.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'241 Centre Street Suite 608 New York'"")",hello@snapette.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+snapette"")",Jinhee Ahn Kim,Co-Founder & President,Sarah Paiji,Co-Founder & CEO,Angela Min,Director of Business Development
Campalyst,"=HYPERLINK(""http://www.campalyst.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'902 Broadway  New York'"")",campalyst@campalyst.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+campalyst"")",Sander Muru,System Architect and co-founder,Jevgenijs Kazanins,CEO and co-founder,Juhan Aasaru,CTO and co-founder
BBH ZAG,"=HYPERLINK(""http://www.zaginvention.com/#/home"")",212-812-6600,"=HYPERLINK(""https://www.google.com/maps/preview/place/'32 Avenue of the Americas 19th Floor New York'"")",chris.vance@bbh-usa.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+bbh-zag"")",Chris Vance,Managing Director, ,"", ,""
inSparq,"=HYPERLINK(""http://www.insparq.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'37 e 18th 8th Floor New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+insparq-com"")",Veronika Sonsev,CEO & Founder,Richie Hecker,Executive Chairman,Ori Soen,Product Manager
Barrel,"=HYPERLINK(""http://www.barrelny.com"")",2122392072,"=HYPERLINK(""https://www.google.com/maps/preview/place/'197 Grand Street, Suite 7S  New York'"")",info@barrelny.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+barrel"")", ,"", ,"", ,""
Moat,"=HYPERLINK(""http://www.moat.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'126 Fifth Ave, 7th Floor  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+moat"")",Noah Goodhart,Founder,Michael Walrath,Founder & Chairman,Jonah Goodhart,Founder & CEO
ConnectBiotech,"=HYPERLINK(""http://www.connectbiotech.org"")",(646) 875-8661,"=HYPERLINK(""https://www.google.com/maps/preview/place/'740 Broadway 9th Floor New York'"")",tfechtner@connectbiotech.org,"=HYPERLINK(""https://www.google.com/search?q='management+team'+connectbiotech"")",Thomas Fechtner,Founder, ,"", ,""
Augmate,"=HYPERLINK(""http://www.augmate.com"")",914-548-9407,"=HYPERLINK(""https://www.google.com/maps/preview/place/'845 United Nations Plaza 16F  New York'"")",info@augmate.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+augmate-reality"")",Pete Wassell,CEO,Drew Austin,COO,Eddie Quiroz,""
